,Unnamed: 0,idx,abb,abb_cn,book,book_cn,chapter,sec,no1,no,chinese,english
30697,30697,66,Rev,啟,Revelation,啟示錄,1,1,1,1,耶穌基督的啟示，就是神賜給他，叫他將必要快成的事指示他的眾僕人。他就差遣使者曉諭他的僕人約翰。,The Revelation of Jesus Christ which God gave him so that his servants might have knowledge of the things which will quickly take place: and he sent and made it clear by his angel to his servant John;
30698,30698,66,Rev,啟,Revelation,啟示錄,1,2,2,2,約翰便將神的道和耶穌基督的見證，凡自己所看見的都證明出來。,"Who gave witness of the word of God, and of the witness of Jesus Christ, even of all the things which he saw."
30699,30699,66,Rev,啟,Revelation,啟示錄,1,3,3,3,念這書上預言的和那些聽見又遵守其中所記載的，都是有福的，因為日期近了。,"A blessing be on the reader, and on those who give ear to the prophet's words, and keep the things which he has put in the book: for the time is near."
30700,30700,66,Rev,啟,Revelation,啟示錄,1,4,4,4,約翰寫信給亞西亞的七個教會。但願從那昔在、今在、以後永在的神，和他寶座前的七靈，,"John to the seven churches which are in Asia: Grace to you and peace, from him who is and was and is to come; and from the seven Spirits which are before his high seat;"
30701,30701,66,Rev,啟,Revelation,啟示錄,1,5,5,5,並那誠實作見證的、從死裡首先復活、為世上君王元首的耶穌基督，有恩惠、平安歸與你們！他愛我們，用自己的血使我們脫離（有古卷作：洗去）罪惡，,"And from Jesus Christ, the true witness, the first to come back from the dead, and the ruler of the kings of the earth. To him who had love for us and has made us clean from our sins by his blood;"
30702,30702,66,Rev,啟,Revelation,啟示錄,1,6,6,6,又使我們成為國民，作他父神的祭司。但願榮耀、權能歸給他，直到永永遠遠。阿們！,And has made us to be a kingdom and priests to his God and Father; to him let glory and power be given for ever and ever. So be it.
30703,30703,66,Rev,啟,Revelation,啟示錄,1,7,7,7,看哪，他駕雲降臨！眾目要看見他，連刺他的人也要看見他；地上的萬族都要因他哀哭。這話是真實的。阿們！,"See, he comes with the clouds, and every eye will see him, and those by whom he was wounded; and all the tribes of the earth will be sorrowing because of him. Yes, so be it."
30704,30704,66,Rev,啟,Revelation,啟示錄,1,8,8,8,主神說：我是阿拉法，我是俄梅戛，（阿拉法，俄梅戛：是希利尼字母首末二字），是昔在、今在、以後永在的全能者。,"I am the First and the Last, says the Lord God who is and was and is to come, the Ruler of all."
30705,30705,66,Rev,啟,Revelation,啟示錄,1,9,9,9,我─約翰就是你們的弟兄，和你們在耶穌的患難、國度、忍耐裡一同有分，為神的道，並為給耶穌作的見證，曾在那名叫拔摩的海島上。,"I, John, your brother, who have a part with you in the trouble and the kingdom and the quiet strength of Jesus, was in the island which is named Patmos, for the word of God and the witness of Jesus."
30706,30706,66,Rev,啟,Revelation,啟示錄,1,10,10,10,當主日，我被聖靈感動，聽見在我後面有大聲音如吹號，說：,"I was in the Spirit on the Lord's day, and a great voice at my back, as of a horn, came to my ears,"
30707,30707,66,Rev,啟,Revelation,啟示錄,1,11,11,11,你所看見的當寫在書上，達與以弗所、士每拿、別迦摩、推雅推喇、撒狄、非拉鐵非、老底嘉、那七個教會。,"Saying, What you see, put in a book, and send it to the seven churches; to Ephesus and to Smyrna and to Pergamos and to Thyatira and to Sardis and to Philadelphia and to Laodicea."
30708,30708,66,Rev,啟,Revelation,啟示錄,1,12,12,12,我轉過身來，要看是誰發聲與我說話；既轉過來，就看見七個金燈臺。,"And turning to see the voice which said these words to me, I saw seven gold vessels with lights burning in them;"
30709,30709,66,Rev,啟,Revelation,啟示錄,1,13,13,13,燈臺中間有一位好像人子，身穿長衣，直垂到腳，胸間束著金帶。,"And in the middle of them one like a son of man, clothed with a robe down to his feet, and with a band of gold round his breasts."
30710,30710,66,Rev,啟,Revelation,啟示錄,1,14,14,14,他的頭與髮皆白，如白羊毛，如雪；眼目如同火燄；,"And his head and his hair were white like wool, as white as snow; and his eyes were as a flame of fire;"
30711,30711,66,Rev,啟,Revelation,啟示錄,1,15,15,15,腳好像在爐中煆煉光明的銅；聲音如同眾水的聲音。,"And his feet like polished brass, as if it had been burned in a fire; and his voice was as the sound of great waters."
